0.005	0.05	-0.35255
0.005	0.06	-0.376179
0.005	0.07	-0.3967
0.005	0.08	-0.414808
0.005	0.09	-0.430983
0.005	0.1	-0.445571
0.005	0.11	-0.458831
0.005	0.12	-0.470963
0.005	0.13	-0.482123
0.005	0.14	-0.492987
0.005	0.15	-0.50349
0.005	0.16	-0.513337
0.005	0.17	-0.522597
0.005	0.18	-0.531328
0.005	0.19	-0.53958
0.005	0.2	-0.547397
0.005	0.21	-0.554816
0.005	0.22	-0.561869
0.005	0.23	-0.568586
0.005	0.24	-0.574992
0.005	0.25	-0.58111
0.005	0.26	-0.586962
0.005	0.27	-0.592565
0.005	0.28	-0.597935
0.005	0.29	-0.603089
0.005	0.3	-0.608039
0.005	0.31	-0.6128
0.005	0.32	-0.61738
0.005	0.33	-0.621793
0.005	0.34	-0.626269
0.005	0.35	-0.630807
0.005	0.36	-0.635202
0.005	0.37	-0.639461
0.005	0.38	-0.64359
0.005	0.39	-0.647596
0.005	0.4	-0.651484
0.005	0.41	-0.65526
0.005	0.42	-0.658928
0.005	0.43	-0.662492
0.005	0.44	-0.665957
0.005	0.45	-0.669328
0.005	0.46	-0.672608
0.005	0.47	-0.675802
0.005	0.48	-0.678914
0.005	0.49	-0.681945
0.005	0.5	-0.684899
0.005	0.51	-0.687781
0.005	0.52	-0.690591
0.005	0.53	-0.693333
0.005	0.54	-0.69601
0.005	0.55	-0.698623
0.005	0.56	-0.701175
0.005	0.57	-0.703669
0.005	0.58	-0.706105
0.005	0.59	-0.708487
0.005	0.6	-0.710815
0.005	0.61	-0.713093
0.005	0.62	-0.71532
0.005	0.63	-0.717499
0.005	0.64	-0.719632
0.005	0.65	-0.72172
0.005	0.66	-0.723764
0.005	0.67	-0.725766
0.005	0.68	-0.727727
0.005	0.69	-0.729647
0.005	0.7	-0.731529
0.005	0.71	-0.733374
0.005	0.72	-0.735182
0.005	0.73	-0.736955
0.005	0.74	-0.738694
0.005	0.75	-0.740578
0.005	0.76	-0.742451
0.005	0.77	-0.744294
0.005	0.78	-0.746107
0.005	0.79	-0.74789
0.005	0.8	-0.749642
0.005	0.81	-0.751364
0.005	0.82	-0.753059
0.005	0.83	-0.754726
0.005	0.84	-0.756365
0.005	0.85	-0.757978
0.005	0.86	-0.759564
0.005	0.87	-0.761124
0.005	0.88	-0.762659
0.005	0.89	-0.764171
0.005	0.9	-0.765658
0.005	0.91	-0.767123
0.005	0.92	-0.768565
0.005	0.93	-0.769985
0.005	0.94	-0.771383
0.005	0.95	-0.77276
0.005	0.96	-0.774116
0.005	0.97	-0.775453
0.005	0.98	-0.77677
0.005	0.99	-0.778067
0.01	0.05	-0.332107
0.01	0.06	-0.354233
0.01	0.07	-0.373422
0.01	0.08	-0.390337
0.01	0.09	-0.405427
0.01	0.1	-0.41902
0.01	0.11	-0.431358
0.01	0.12	-0.442798
0.01	0.13	-0.454165
0.01	0.14	-0.464747
0.01	0.15	-0.474634
0.01	0.16	-0.4839
0.01	0.17	-0.492613
0.01	0.18	-0.500824
0.01	0.19	-0.508582
