0.001	-0.00121508
0.011	-0.0133914
0.021	-0.0255968
0.031	-0.0378241
0.041	-0.0500659
0.051	-0.0623295
0.061	-0.0745968
0.071	-0.0868713
0.081	-0.0991495
0.091	-0.111424
0.101	-0.123695
0.111	-0.135955
0.121	-0.148204
0.131	-0.160464
0.141	-0.172771
0.151	-0.185475
0.161	-0.199048
0.171	-0.215034
0.181	-0.23652
0.191	-0.268701
0.201	-0.305721
0.211	-0.369659
0.221	-0.430355
0.231	-0.494634
0.241	-0.537315
0.251	-0.57631
0.261	-0.623299
0.271	-0.64879
0.281	-0.668479
0.291	-0.682714
0.301	-0.690874
0.311	-0.698146
0.321	-0.701461
0.331	-0.704273
0.341	-0.70289
0.351	-0.703149
0.361	-0.698343
0.371	-0.696651
0.381	-0.690485
0.391	-0.686363
0.401	-0.682765
0.411	-0.67407
0.421	-0.669166
0.431	-0.664251
0.441	-0.659125
0.451	-0.648972
0.461	-0.643253
0.471	-0.637443
0.481	-0.631499
0.491	-0.621218
0.501	-0.614978
0.511	-0.608801
0.521	-0.602522
0.531	-0.596185
0.541	-0.586613
0.551	-0.580098
0.561	-0.573764
0.571	-0.567394
0.581	-0.561133
0.591	-0.554784
0.601	-0.547017
0.611	-0.539898
0.621	-0.533644
0.631	-0.527543
0.641	-0.521439
0.651	-0.515447
0.661	-0.509463
0.671	-0.503529
0.681	-0.497661
0.691	-0.490927
0.701	-0.484681
0.711	-0.47906
0.721	-0.47345
0.731	-0.467917
0.741	-0.462485
0.751	-0.457127
0.761	-0.451808
0.771	-0.446562
0.781	-0.441392
0.791	-0.436277
0.801	-0.431228
0.811	-0.425804
0.821	-0.420754
0.831	-0.415956
0.841	-0.411146
0.851	-0.406479
0.861	-0.40188
0.871	-0.397318
0.881	-0.392858
0.891	-0.388452
0.901	-0.384105
0.911	-0.37983
0.921	-0.375618
0.931	-0.371459
0.941	-0.36737
0.951	-0.363343
0.961	-0.359363
0.971	-0.355456
0.981	-0.351607
0.991	-0.347816
1.001	-0.343956
1.011	-0.340246
1.021	-0.336644
1.031	-0.333097
1.041	-0.329601
1.051	-0.326148
1.061	-0.322765
1.071	-0.319429
1.081	-0.316148
1.091	-0.312913
1.101	-0.309734
1.111	-0.306605
1.121	-0.303517
1.131	-0.300482
1.141	-0.297496
1.151	-0.294553
1.161	-0.291657
1.171	-0.288808
1.181	-0.286
1.191	-0.283235
1.201	-0.280517
1.211	-0.277836
1.221	-0.275199
1.231	-0.272605
1.241	-0.270044
1.251	-0.267526
1.261	-0.265049
1.271	-0.262608
1.281	-0.260203
1.291	-0.257834
1.301	-0.255506
1.311	-0.253207
1.321	-0.250944
1.331	-0.248707
1.341	-0.246517
1.351	-0.244359
1.361	-0.242231
1.371	-0.240132
1.381	-0.238066
1.391	-0.236028
1.401	-0.234024
1.411	-0.232048
1.421	-0.230102
1.431	-0.228185
1.441	-0.226293
1.451	-0.224427
1.461	-0.222593
1.471	-0.220778
1.481	-0.218995
1.491	-0.217238
1.501	-0.215499
1.511	-0.213786
1.521	-0.212101
1.531	-0.210439
1.541	-0.208795
1.551	-0.207179
1.561	-0.205586
1.571	-0.204007
1.581	-0.202457
1.591	-0.200922
1.601	-0.199412
1.611	-0.197917
1.621	-0.196447
1.631	-0.194996
1.641	-0.193562
1.651	-0.192147
1.661	-0.190754
1.671	-0.189375
1.681	-0.188014
1.691	-0.186672
1.701	-0.185344
1.711	-0.184038
1.721	-0.182747
1.731	-0.18147
1.741	-0.180207
1.751	-0.178963
1.761	-0.177737
1.771	-0.176522
1.781	-0.175321
1.791	-0.174135
1.801	-0.172968
1.811	-0.171811
1.821	-0.170668
1.831	-0.169537
1.841	-0.168424
1.851	-0.167322
1.861	-0.16623
1.871	-0.165157
1.881	-0.164091
1.891	-0.16304
1.901	-0.161999
1.911	-0.16097
1.921	-0.159955
1.931	-0.158947
1.941	-0.157954
1.951	-0.156972
1.961	-0.156
1.971	-0.15504
1.981	-0.15409
1.991	-0.153148
