0.001	1.35384	0.863683	-0.072907
0.051	1.35384	0.863683	-0.935
0.101	1.1883	-0.427553	-1.09103
0.151	1.1883	-0.427553	-0.833
0.201	1.11075	-0.264834	-1.08013
0.251	1.11075	-0.264834	-0.813
0.301	1.06238	-0.166623	-1.06968
0.351	1.06238	-0.166623	-0.801
0.401	1.0288	-0.0885253	-1.06099
0.451	1.0288	-0.0885253	-0.793
0.501	1.00548	-0.0239782	-1.05469
0.551	1.00548	-0.0239782	-0.788
0.601	0.986402	0.0310382	-1.04934
0.651	0.986402	0.0310382	-0.783
0.701	0.970698	0.0787918	-1.04536
0.751	0.970698	0.0787918	-0.780
0.801	0.957506	0.12267	-1.0416
0.851	0.957506	0.12267	-0.778
0.901	0.946732	0.162483	-1.03842
0.951	0.946732	0.162483	-0.776
1.001	0.937039	0.198894	-1.03564
1.051	0.937039	0.198894	-0.775
1.101	0.928794	0.232872	-1.03319
1.151	0.928794	0.232872	-0.775
1.201	0.921382	0.264179	-1.03106
1.251	0.921382	0.264179	-0.774
1.301	0.914703	0.293853	-1.02899
1.351	0.914703	0.293853	-0.774
1.401	0.908815	0.321734	-1.02733
1.451	0.908815	0.321734	-0.775
1.501	0.903617	0.348298	-1.02574
1.551	0.903617	0.348298	-0.775
1.601	0.898972	0.373599	-1.02425
1.651	0.898972	0.373599	-0.776
1.701	0.894609	0.397511	-1.02297
1.751	0.894609	0.397511	-0.777
1.801	0.890533	0.420296	-1.02178
1.851	0.890533	0.420296	-0.778
1.901	0.886895	0.442246	-1.02068
1.951	0.886895	0.442246	-0.780
2.001	0.88369	0.463368	-1.01966
2.051	0.88369	0.463368	-0.781
2.101	0.880673	0.483678	-1.01877
2.151	0.880673	0.483678	-0.783
2.201	0.877818	0.503214	-1.01796
2.251	0.877818	0.503214	-0.785
2.301	0.875282	0.522087	-1.0172
2.351	0.875282	0.522087	-0.786
2.401	0.872867	0.540347	-1.01654
2.451	0.872867	0.540347	-0.788
2.501	0.870689	0.558017	-1.01592
2.551	0.870689	0.558017	-0.790
2.601	0.868645	0.575123	-1.01536
2.651	0.868645	0.575123	-0.793
2.701	0.866741	0.591737	-1.01487
2.751	0.866741	0.591737	-0.795
2.801	0.865002	0.607897	-1.01442
2.851	0.865002	0.607897	-0.797
2.901	0.863356	0.623571	-1.01405
2.951	0.863356	0.623571	-0.799
3.001	0.861864	0.638896	-1.01373
3.051	0.861864	0.638896	-0.802
3.101	0.860464	0.65381	-1.01346
3.151	0.860464	0.65381	-0.804
3.201	0.859195	0.668372	-1.01323
3.251	0.859195	0.668372	-0.807
3.301	0.857855	0.682472	-1.01294
3.351	0.857855	0.682472	-0.809
3.401	0.856782	0.69638	-1.01281
3.451	0.856782	0.69638	-0.812
3.501	0.855762	0.709939	-1.01271
3.551	0.855762	0.709939	-0.814
3.601	0.854797	0.723184	-1.01265
3.651	0.854797	0.723184	-0.817
3.701	0.853954	0.736194	-1.01262
3.751	0.853954	0.736194	-0.819
3.801	0.853161	0.748929	-1.01263
3.851	0.853161	0.748929	-0.822
3.901	0.852407	0.761384	-1.01268
3.951	0.852407	0.761384	-0.824
